text,compound,label
"gila sihh beli air kelapa ijo doang nunggu menit mana tuh toko kelapa jarak rmh cuma km doangterus sy udh nunggu menit dibatalin coba bikin orang naik darah aja mana sekarang makin ga jelas gojek kalo mau cepet sampe nambah ongkir ga kaya dulu satsetsumpah bukanya makin bagus malah makin buruk pelayanannya",-0.1,0
"errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak pakai gopay latter buat beli pulsa padahal blm pakai buat beli token listrik",0,1
,0,1
"mentew bro",0,1
"kebon jeruk xviickel mapharkec taman sari jkt barat",0,1
"driver melebihi waktu ditentukan terlalu lama",0,1
"buruk sekali menggunakan aplikasi sumpah sampah bgt pesanan ga nyampe drivernya jga ga kepotong saldo jangan download gojek mending grab apa maxim jelas parah uang hilang anngg gojek auuu",-2,0
"kecewa sama gojek sekarang gofoodny udah langganan gofood plus aja kena ongkir makin kesini makin gak jelas aja",-0.4,0
"bagus aplikasinya",0.5,2
"gojek makin sini makin gila aja ni ngasih drever selalu yg jauh padahal drever yg dekat banyak mikir lah drever beli bensin pake duit sendiri kasian kan klo jemputnya jauh emang cara berpikir kalian apa ko selalu dikasih drever yg jauh beda dgn grab",0,1
oke,0,1
mantap,1,2
"dpt limit gopaylater tp ga dipake notif gopay payletter diblokir",0,1
"sikap driver sabar akurasi pengiriman alamat pelanggan go food",0,1
"gimana cara nya tf lupa pin sama nomor telepon kadaluarsa bagaimana cara nyaaaa semoga balas",0,1
good,0,1
"udah update sampe tak install berkali tetep gabisa dibuka",0,1
"sangat membantu sekali kalo hujan mager mendadak tamu",0,1
"alhamdulillahbisa diandalkan dlm kondisi apapunbaik gojek n gofoodnya",0,1
"bagusmbatu terima aksih",0,1
"sangat membantu",0,1
"sanjay membatu",0,1
,0,1
"sangat membantu",0,1
jos,0,1
"gojek sigap cepat aman n nyaman",0,1
shiiip,0,1
kerenn,0,1
saduuuuuuuuuuu,0,1
"pas ufdate ga buka",0,1
"mantap kasih tiap bulan donk promosi nya heheh",1,2
"pake gojek mau jadi mudahsemoga lacar terussss",0,1
"knp haru yg baru lbh payah",0,1
"jelek banget sekarang aplikasinya ga ajukan gopaylater gopinjam dulu padahal pernah gopaylater jadi bintang menghabiskan waktu aja suruh nunggu udah nunggu pas coba ehh ditolak siapa lu",-0.6,0
"puas memakai gopay minggi sy merasa kecewa karna topuap dr indomaret uang g tau mna mask nya kata nya tabungan jago sy cek g adasy email chat complin g tanggapan",0.5,2
"mudah cepat",0,1
mantap,1,2
"sekarang udah mahal ongkirnya trus biaya penanganan tmbahan overall bagus sih cuman skg bnyak apk serupa yg dipertimbangkan biar lebih hemat utk pengguna yg sering",0.2,2
"jangan terlalu sering minta update diupdate ternyata perubahan makan memori doang",0,1
"pembelian melalui gofood selalu lama kendala makan disiapka tp driver jam gak dpt pesanan tdk bs dibatalkan alasan pesanan sdh masuk resto jd menunggu yg batalkan pihak sangat mengecewakan ajng bngt",0,1
"watwetcak cek",0,1
"bagus sekali",0.5,2
mantap,1,2
"good app",0,1
"lumayan sering promo gofood",0.6,2
"bagus sangat membantu",0.5,2
"bv terbangun htgzjp",0,1
"dulu sudak sekian puluh kalinya update gopay plus gagal padahal sebelumya udah plus mau diupgrade gopay plus terbaru malah premium pusing padahal aku gunakan layanan goparter akujadi kacau balau akun goparter aku",-0.8,0
"pengajuan pijan gopay pinjam semua data minta masukan pengajuan tolak sebenar nya ga masalah malah senang dgn tolak nya pengajuan dgn sangat pihak gopaypinjam hapus semua data yg kirim kan",0,1
"biaya penanganan maksdnya apa aku mo pesan minuman gofood kena biaya penanganan rb padahal minumannya cuma rb",0,1
mantap,1,2
"great application",0,1
"mantap pakai gojek gocar sering promoterima kasih gojekgocar",1,2
"please gopaylater bayar tagihan jatuh tempo kayak dulu dong sebel bgt mau bayar tagihan nunggu japo dulu",0,1
lancar,0,1
"jujur klo urusan ojek online gojek the best kecepatan keramahan kerapihan pakaian sama attitude paling penting oke banget deh gojek",0,1
"diupdate berulang kali direspon dibuka",0,1
"status pesanan gofood stuck udah coba pakai wifi data sama aja padahal internet lancar buat youtube udah coba restart hp sama aja aplikasi udah terbaru chat cs yg jawab bot sangat recommended udah lewat estimasi loh hampir jam nunggu estimasi menit",0,1
"mantap selalu berikan terbaik buat pelanggan",1,2
bagus,0.5,2
"aplikasi taiiii mw masuk aja susah bngat kya kontoooolll",-0.6,0
"smoga kedepannya lebih baik lagisukses",0.5,2
mantab,0,1
"langganan n potongan or discountnya mayaan buat order kpepet",0,1
"makin mahal aja dibandingin beli langsung restonya sama beli dr aplikasi bedanya banyak",-0.3,0
satsetsatset,0,1
"bgs apk nya cuma tolng perbaiki lg mau masukin kode otp aja lma bgt",0,1
"driver gocarnya gblk",0,1
bagus,0.5,2
bagus,0.5,2
"suka banyak promo",0.6,2
"masa titik jemput gocar selalu ngaco padahal sdh sesuai titik share lokasi masa jemput ny jauh banget titik tol diperbaiki bikin driver susah maaf ksh bintang",-0.6,0
"sejauh selama menggunakan aplikasi masalah baik memesan tranportasi online maupun memesan makanan",0.5,2
,0,1
,0,1
"mohon maaf iklanya dikurangi",0,1
"gopaylater kena blokir hahah",0,1
"setres update makin parah",-0.6,0
"sangat suka",0,1
"gimana nih aplikasi kok parah nyuruh update turuti update sekarang g terkoneksiparah",-0.6,0
mantaap,0,1
"sangat membantu",0,1
"tarifnya jangan makin mahal donk",-0.3,0
"update malah pakai fitur go pay",0,1
"aplikasi terkadang sangat butuhkan",0,1
"terima kasih sangat terbantu sekali",0,1
"makin lama sekarang gofoodnya kayanya udah g secepat dulu ditambah option tambahan mau express reguler macem ajah yg reguler hampir sejam keburu dingin yg paling utama keburu laper",0,1
"aplikasinya keluar sendiri padahal udah update udah uninstal terus instal ulang tetep kek jelek nih aplikasi",-0.6,0
"good job",0,1
"gojek memang the best",0,1
mantappp,0,1
ahayde,0,1
"transfer uang gopay bank tertera terkirim masuk rekening mohon konfirmasi tindak lanjutnya",0,1
buruk,-0.6,0
"si skrng gojek jeda wkt tunggu nya jadi lama bgt kaya app sebelah pdhl dr toko nya info klo pesenan udh kelar app bilangnya dsiapkan tunggu menit lg jadi ga ad beda nya sama app sebelah pdhl harga nya lebih mahal",-0.3,0
"terjadi gopay gua ilang baru gua top up gua tinggal seharian blm gua beli in apa apa tadi gua top up saldo gopay k sekarang pas gua mah beli barang online shop pas liat saldo tinggal k ga tau dah tuh ilang berapa males ngitung gua udh kali kehilangan uang pertama udh gua ikhlas kan udh kali nya dah lah gua jadi males nyimpen duit banyak gopay mending dana sekian gua kecewa sama apk",-0.4,0
"terima kasih antar jemput",0,1
"mohon tingkatkan lg sistemnya",0,1
"aplikasi yg tdk mau menerima keluhan customernya mau laporan dipersulit aplikasi sampah",-0.5,0
"edit jaringan bagus aplikasi versi terbaru error pemesanan gojek gofood tertulis error gps sudab aktif sama kadang kalp jauhan muncul location not serviceable nah perluas lg jangkauan ny gojek knp gofood",0.4,2
"bermanfaat sekali",0,1
dibenahi,0,1
,0,1
"apaan dah pesen gofood biaya layanan sampe rb pdhl ongkir dibawah k an",0,1
"aplikasi terbaik",0,1
"bagus top",0.5,2
"membantu banget pokonya",0,1
"aman terkendali",0,1
"oke langsung gass",0,1
joseee,0,1
"maps digojek eror gajelas kasihan bapak drivernya",-0.3,0
"selalu puas sm gojek semoga makin bagus lg kedepannya",1.4,2
"aplikasi gojek diperingan dong android lollipop os versi",0,1
"batalin klo order gofood sat knapa skrang lama bgt si gofood nya psen makan aja satu setengah jam lah gojek perbaiki jgan lama bgt ky gini kburu lapernya ilang tlol",0,1
"mayan berguna",0,1
"stelah d perbarui aplikasinya jd bobrok bukan tambah d perbaiki kok malah gak bs buka trs resard ulang trus",0,1
"aplikasi sangat bagus mau apa aja lengkap mulai makanan tranportasi pindahan kost tersedia mobil nya pokoknya gojek luar biasa",0.5,2
"ngbantu sekali",0,1
"aplikasi gk kepake",0,1
"knpa bayar gopinjam kepotong tagihan nya padahal bca nya berhasil",0,1
"sangat terbantu",0,1
"susah banget dapet driver kalo gosend pake samday hapus aja opsi pengiriman samday nya driver males ngambil orderan",-0.6,0
"recommended aplikasi",0,1
"sangat baik",0.5,2
baik,0.5,2
"mntaap lanjutkan promonya",0,1
"yah buat gofood sediain uang receh biar kembalinya cepetin dapet driver nya soalnya gua nunggu menit apa ga mau mati orang nunggu nya",-0.7,0
"bagus profesional",0.5,2
"iklan ny gojek lakukan si aplikasi gojek buka wa iklan nya selalu lewat mebuat nyaman aplikasi buka selalu masuk iklan gofood",0,1
"habis diupred kk malah gk dibuka",0,1
"sangat mudah penggunaan",0,1
bagus,0.5,2
"gak adil banget jek gw sering order gk pernah dikasih vocer kalaupun dikasih vocer gk masuk akal belanja diatas k baru dpt potongan k herannya kawan yg jarang order malah sering dikasih vocer potongan bahkan gk recomend banget jeksumpah",0,1
"welcome back berharap gojek konsisten bisalebih diperhatikan pelanggang lama",0,1
"goride promo apasih kode prominyab",0.6,2
"sip bagus",0.5,2
good,0,1
"sejauh nyaman aman pakai gojek walaupun apk suka minta diupdate huhuh tp baguss ko luv",0,1
mantap,1,2
"tepat waktu cepat",0,1
mantap,1,2
"gojek maikin parahtitik lokasi maps gps gak sesuai lebih diperhatikan",0,1
"update hp kentang kyk punya aku gak pake gojek lg keluar sendiri",0,1
"hujan sangat susah mendapatkan driver",-0.6,0
"mohon kongirmasinya buat gojek iniknp pas udh update malah semakin rusak tiap x buka aplk ny malah ga bisajd kecewa sekrang",-0.4,0
"aplikasi degan tarif mahalmasih mending maxim harga murahsaya klo transportasi pk maxim doang",0,1
"pesen gofood udah ga ti driver otomatis tiga kali terus dibatalin sistem padahal udah nunggu hampir sejam gak solusi apa ngerugiin customer",0,1
"gopay later malah blokir padahal selalu bayar jatuh tempo parah bener",-0.6,0
"good job",0,1
"sat set sat set cepat",0,1
"mudah mengerti",0,1
"aplikasi tolol daftar paylater udah lama limit rb sampe jt sekarang gapernah telat bayar selalu transaksi pakai gopaylater pas mau beli pulsa malah diblokir gopaylater padahal cuma mau beli pulsa gapernah telat bayar beli pulsa doang diblokir emang dasar aplikasi sampah tolol idiot tagihan gopaylater rb tadinya mau bayar cuma udah blokir gitu males gua bayar bodoamat kaga bakalan gua bayar sumpah",-0.5,0
"update enggak cash back padahal udah pakai promo beli paket data rp promo cashback rp ga masuk cashback nya gitu",1.2,2
"maksudmu opo cak ngomong kangen nak pipiii",0,1
,0,1
,0,1
"sangat membantu",0,1
"woiii knp anj banyak banget iklanya mau masuk aplikasi apapun iklan aplikasi gojek bab",0,1
"tiga dulu apl sering sulit diakses",-0.6,0
"ulasan ganti paylater berfungsi",0,1
"gojek apaan dahtadi waktu milih promo giliran udah ditop up tiba promo hangus gajelas bgt",0.9,2
keren,0,1
nuhun,0,1
"kok gada mode pilihan pembayaran cuma gopay ama tunai ajh",0,1
"akun saldo gopaynya hilang ngk bikin pesananjam pas sore buka akun gojek buat bayar belanjaan alfa ternyata saldo udah berkurang aja rb pesan gojekini bukan soal nominal caranya apa apan kayak gini ngak terima pengiriman ewallet lama menunggu satu hari bayar x penjual apk ga punya customer service apa bagaimana beda sama ewallet terbaik lainnya",-0.3,0
"penjemputannya kadanglama kadangcepet kendalanya cuma waktu pagi aja terkadang susah mendapatkan gojek skalinya dapet lama penjemputannya",-0.6,0
"gojek nya ramahdari mulai penjemputan tempat tujuanpemilihan rute sangat baiksikap drivernya sopanpokoknya",0,1
"abis upgrade malah gak pake gotransit nya payahhh",0,1
,0,1
"bagus pesan antar alamat berbeda",0.5,2
"kurangi bintangnya sesuaigop pinjam pertama lancar limit naik sayangkan tariksecara pembayaran tepat waktu pernah telatbuat apa limit kasih naik kalau gabisa tarikkalau tarik tambah bintangnya",0,1
"sangat terbantu belanja",0,1
"aplikasi mau bankrut bikin draver sengsara",0,1
"mantap terbantu sekali",1,2
"sya puas pke gojek utung dever klo ad promo d ambil jngan bilang promonya abis karna ongkosnya murah",1.5,2
"makin hari makin kacau",-0.3,0
"bintang berbicara",0,1
"jos gandos",0,1
"didownload malah dowload ulang lagipasnya didownload lamaaa sekali bahkan berulang ulang didownloaditu kenpa yah min",0,1
"sangat baik",0.5,2
nice,0,1
"sangat membatu sekali",0,1
"sngt membantu",0,1
"eror gak buka",0,1
"sangat membantu mobilitas orang",0,1
mantap,1,2
"sejauh puas makai gojek semua keperluan",0.9,2
bermanfaat,0,1
"bagus cepat",0.5,2
"gopaylater digunakan tulisannya diblokir padahal limit tagihan terakhir lunasi dulu pernah begini semenjak beralih mab denda telat bayarnya naik drastis sehari ribu makin aneh aja",-0.4,0
"aplikasi membantu banget aku gaada transportasi",0,1
"driver gojeknya ga tau haluan lalu lintasga ramahga sabaransuka nerobos malah nyenggol anak smk",0,1
"bagus kl sdh muncul aplikasinya utk munculnya kadang sulit",-0.2,0
"rubah rating gara sistem gopay ngaco parah",-0.6,0
"cepet dapetnya",0,1
mantap,1,2
baik,0.5,2
"ko mau buka aplikasinya keluar sendiri terus udah coba install ulang tetep sama keluar sendiri terus aplikasi jadi digunakan",0,1
mantap,1,2
"apk tolol masa engga ngojek lokadi gw tolol banget",0,1
"sangat membantu",0,1
"sangat ramah baik",0.5,2
"gojek sekali",0,1
"promo kurang and terlalu mahal",0.3,2
"susah banget dapet driver kalo ujan padahal depan mata sendiri drivernya nongkrong",-0.6,0
"good job",0,1
"mangkin update mangkin gk jelas limit gopay letter tersedia tp blokir apk aneh update malah aman aja",-0.4,0
"good application",0,1
"order gofood restoran chat masakan ready utk diambil driver blm yg ambil mengirim pesanan sesuai estimasi pengiriman jadinya nunggu lama padahal masakan udh siap",0,1
"oke mantul",0,1
"sangat membantu terimakasih",0,1
"mantap brooo",1,2
azzam,0,1
"banyak promonyaaa",0,1
"pengalaman dapet driver sombong kasar kronologi mesan grabcar kebetulan malem abis hujan jadi jalanan kotor becek pas driver sampe lokasi penjemputan ponakan buka pintu depan masuk kemudian driver nada tinggi bilang ponakan kaki kamu kotor mobil bersih tangannya membersihkan bangku tadinya diduduki ponakan akhirnya jadi naik mobil driver walaupun statusnya perjalanan uang driver",0,1
"lumayan promonya cuman sedikt yaa",0,1
"make everything easyerniceworkespecially the gocar",0,1
good,0,1
"pesen go food sama driver dicancel mulu udh kali heran deh pelayanan go food lama banget mentang mentang diskon kalo dibandingin mending dishope food sih mahal dikit tp driver ny gercep",-0.3,0
"parah pesan gak mau satupun",-0.6,0
"selama pakai selalu tepat waktu jemput cuma titik jemputnya susah menentu kan lokasi sendiri",-0.6,0
"good apk",0,1
"sangat membantu kelaparan",0,1
"menghapus banyak permainan tetap didonwload emg semahal",0,1
"lh diatur kehidupan drivers",0,1
"aplikasi gojek membuat toko goshop pilihan buat link",0,1
"aplikasi yg sangat membantu",0,1
mantap,1,2
mantap,1,2
"bagus keren keren",0.5,2
"bagus terima kasih",0.5,2
"ramah nyaman",0,1
"aplikasi yg simple mudah digunakan",0,1
"gojek peta sering mengambil jalur semestinya kadang mutar lebih jauh kadang lewat jalur belakang dijangkau perbaiki sering kejadian",-0.2,0
"setahun gojek memuaskan",0,1
"mendeteksi pemakaian biasa aplikasi gojek hp sy terahir tahun selalu hapus aplikasi gojek gunakan beralih sekarang download lagimasih tetap sama mendeteksi pemakaian biasa terus tahun sekarang",0,1
"sangat membantu sekalii baik gojek gofood gocarr",0.5,2
"gofood semakin lama semakin susah dpt driver sampe berjam g dpt pdhl udah pilih yg paling mahal kirimnya tetep aja g dpt restonya ga sampe sekilo terpaksa batalin terus karna ga tau mau kapan nunggu dpt drivernya",-0.9,0
"ayo download grab",0,1
"sukses selau gojak",0,1
"so far so good keep up the good work",0,1
"gojek sangat bermanfaat membantu",0,1
"kurirnya bertanggungjawab menjalankan tugasnya hujanhujan tetap diantar terima kasih pelayanannya",0,1
"fitur penjemputan aplikasi rusak",0,1
"nikmati songkolo begadang bersama gojek",0,1
"gopay later nya digunakan",0,1
"bagus bgtt",0.5,2
"bagus ongkir nay jan",0.5,2
"permisi min adain fitur rute didalam rumah dong kayak ambilin remot dibawah trs dianterin keatas mohon min terimakasih",0,1
"sangat kecewa pas hujan mau ambil orderan",-0.4,0
good,0,1
"temen ku top up kena refund alasan",0,1
"kasihan sekarang gofood jarak dekat yg bayar cuma blm nunggu restonya lama tidakkadang antarnya kilo lebihjujur kalau hitung mana cukup yauang jajan anak aja lebih rasa gojek berperi kemanusiaan dehpancasila abaikan gojekyg pimpin gojek jg blm hafal pancasila",0,1
"banyak promonyaa",0,1
"oke bgt",0,1
"sangat membantu",0,1
"aplilasi gojek buka gunakan",0,1
"sebenrnya pelanggan gojek tp iklannya detik muncul hp sy sangat menggangu pihak gojek uninstal aplikasi iklan gojek masuk hp",0,1
"aplikasi ampas masa habis pesan makanan pake promo keburu tutup rumah makan kartu promo hilang rugi banget minimal ngerti ekonomi pengguna bay",-0.4,0
,0,1
"bagus cepat",0.5,2
mantap,1,2
,0,1
"mantap aplikasinya",1,2
"semoga semaki menjangkau lamandau",0,1
"bagus cepat",0.5,2
"sangat membantu",0,1
"banget aplikasinya",0,1
"selama pakai gojek bagus",0.5,2
"gopay ne maksud nya gimana apa kasih limit pay later kalau gk gunakan bayar gk pernah telat ehhh pay later nya gk pakek alias blokir memang aplikasi",0,1
"sangat membantu",0,1
,0,1
bgt,0,1
"history pemakaian ditanyakan puskesmas terdekat sebentarsebentar updatesebentar update",0,1
"yg terbaik",0,1
"apk keren gojek banyak diskonnya sukses",0,1
"pokonya mantappp",0,1
"wilayah berau masa tanjung redeb labanan gak adahadehhh cuman kotanya doangpdhl jga mau jalan keluar kota jga loh",0,1
mantaaap,0,1
"assalamualaikum ka ngebug pdhl sdh versi terbaru jadi sulit menggunakan krna keperluan dulu gojek apk bgus berpindh skrng jd sering ngebug pdhl kuota full tdk menggunakan wifi tlong segera dibenari skrng install lama pendftrn lama segera diperbaiki membuat tidk nyaman krna sush msuk aplikasinya slalu beranda kak trma ksh",-0.6,0
bagus,0.5,2
"tolonglah kasih driver jaraknya deket buset mah gua dapet drivernya setara indonesia mekkah",0,1
"respon sll lambat mapping rdk tepat",-0.8,0
"sangat membantu",0,1
"aman nyaman",0,1
"potongan terlalu tinggi driver",0,1
"sangat membantu sering sering adain promo",0.6,2
good,0,1
"mantaap bro",0,1
"update melulu",0,1
"mentenen mulu ajggua mau beli pulsa masa gitu aja lamaaa",0,1
recommended,0,1
mantap,1,2
maanntttaaabbssss,0,1
nice,0,1
"mapnya dibenerin ga sesuai arahannya customer maupun drivernya jd sering bermasalah sy sering cancel sepihak krn problem overall drivernya bagus gercep aplikasinya bagus tp klo didukung system yg bagus rusak terima kasih",1.5,2
"ngasih rating satu aplikasi gojek nyarinya terlalu lama bahkan nyarinya udh menit sekolah biasanya pake gojek suka terlambat gojek nyari drivernya lama banget",0,1
mantap,1,2
baik,0.5,2
"sangat membantu",0,1
"mau beli kuota ga sih awalnya emang aku lupa sandi tp tetep ga bayar mana buru buruayo dong plis benerin jangan mempersulit padahal update ga kek gini deh mana ga transfer bank lumayan banget uang top up soalnya ga pakai kecewa berat",-0.8,0
"ko masuk gojek selalu nggk sinyal perbaiki min",0,1
"cepat ramah",0,1
"la segini dulu",0,1
,0,1
,0,1
"terima kasih sangat membantu diasaat membutuhkan",0,1
"buat is the best banyak promonya sebagian promo gk digunakansaran aja donk kasih login harian berhadiah poin hadiah lainnyaterima kasih",0.6,2
"gopinjaman dipakek percuma udh banyak top up",0,1
"kasih bintang dulu update aplikasi gopaylater lakukan transaksi padahal limit full bayar tagihan tepat waktu makin lama aplikasi makin ndak jelas dijelaskan",0,1
bagus,0.5,2
"bunga gopay pinjam gede bener",0,1
mtap,0,1
"pelayanan sangat baik",0.5,2
"tepat waktu",0,1
"buka aplikasi gojek selalu gak",0,1
"sangat membantu",0,1
"pengguna gojek tiba gopay later blokir klo perbaiki perbaiki bintangnya",0,1
mantap,1,2
good,0,1
good,0,1
"go pinjam sy dibekukan usaha sy jd macetpdhal tagihan angsuran sy tdk pernah bermasalahbused dah",0,1
mantab,0,1
"good job buat bapak gojek pelayanan yg baik khususnya bapak gojek yg baru anter stasiun cepat",0.5,2
"sangat membantu sekali",0,1
"mohon perusahaan pengembang responsif komplainan pelanggan saran cs menelpon komplain pelanggan",0,1
"mantab aplikasinya membantu",0,1
,0,1
"okmantap good terbaik goodluck for you yg buat gojek yg bagus jgn utak atik yaa thank you verry verry much",0.5,2
"aplikasi gofood docar sangat membantu",0,1
"gopay later nya sdh naik limit smpe jt tpi tdk gunakan percuma jd anak sultan go club nyamalas pakai aplikasi lagitmbh lama semakin jelek",-0.6,0
mantap,1,2
mantap,1,2
"discount nya luar biasa biaya transportasi jadi hemat",0,1
"gopaylatter gak pernah pake padahal bayar gak pernah telat percuma ngasih fasilitas gak gunaaa gak membantuu",0,1
"rute goridere selalu lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan",0,1
,0,1
"ongkir gofood mahal najis jarak deket",-0.3,0
mantap,1,2
penyelmat,0,1
"dikembangkan apk nya",0,1
"sya draver hampir jam gk dikasih orderan tpi vendor yg bersama gojek sprti goflet selalu perioritas gak baca komen",0,1
"awalnya bintang merasa puas sekarang kasih bintang ganti management jadi ribet banget",0.9,2
"aplikasinya bagus kok sering pake kalo mau berangkat sklah",0.5,2
"sangat membantu banget",0,1
bgus,0,1
"g d buka ni susah aplikasi gojek nya knp",-0.6,0
top,0,1
"sangat membantu bidang transportasi kebutuhan sehari hari masyarakat indonesia",0,1
"admin gojek mau tanya akses gopay pinjam statusnya pengecekan trus beberapa hari ngebug",0,1
"aplikasinya buruk map nya suka bermasalah ngebug",-0.6,0
"mempermudah keperluan yaa meski sekarang jatang bgt diskon nya",0,1
"rugi update app jd tambah ribet mau beli pulsa aj musti toko pelayanan tdk spt dulu gmn mengembalikan dpt setelan awal",-1,0
"promo gofood udah jarang potongan masing masing dr store gak gabungin promo toko sama promo voucher yg",1.8,2
"ongkir gofood makin mahal",-0.3,0
mantap,1,2
oke,0,1
"jadi jelek fitur payleter dipakai",-0.6,0
"baik orangnya",0.5,2
"pelayanan baik makasih",0.5,2
"seneng klu banyak discontnya",0,1
"gopaylater sy gunakan padahal sy membayar tagihan jatuh tempo tunggakan",0,1
"sangat terbantu dg aplikasi cuma hbis update kok gk buka jdi kacau pas mau pesan mental gk",-0.3,0
buruk,-0.6,0
"pelayanan customer servis sangat buruk hari mengajukan pengembalian saldo gopay and then apa terjadi sekarang saldo gopay return alasan menghubungi sayanya hubungi cek hp mana ngga menghubungi",-0.6,0
"hello admin mau coba menyampaikan beberapa nih diantaranya semoga gojek tetap akses buat siapapun admin buat tema gelap buat aplikasi gojek semoga aplikasi gojek semakin berkembang baik banyak peminatnya admin berharap ukuran aplikasi jangan terlalu besar admin terimakasih",0.5,2
bagus,0.5,2
"sekarang semakin buruk apk supir gojek terutama mobil selalu menolak pelanggan tp g mau mengcansel nya",-0.6,0
"sangat bermanfaat",0,1
"enak murah",0,1
"sangat memuaskan dgn memakai gojek",0,1
mantap,1,2
"gojek enk bnr jir naek motor pling murah mobil mw nngss murah bgt njay mna klo tf topup gaada biaya admin we love you gojek",0,1
"paketnya ayam bakarnya enak mantul pokoknya",0,1
"dh masuk trs keluar sendiri",0,1
trim,0,1
"suka bgtt pke dr",0,1
"knp yah klo driver telpon gak pilihan buat ngangkat tlpnya cuma bunyi doang",0,1
"laporan masalah pernah selesai sma cs nya payah apa lapor media konsumen masalah cashback makanan sesuai ga pernah selesai masalahnya perbaiki layanan terutama cs nya ga pernah menyelesaikan masalah binggung buat laporan apa ditanggepin masalahnya",0,1
"apk bagus sangat membantu",0.5,2
"aneh pake paylater gojek gapernah telat bayar kemarin bayar paylater langsung diblokir lol",-0.4,0
"alhamdulillah salama gojek selalu mengantarkan selamat",0,1
"makin lemottt pas buka",0,1
bagus,0.5,2
,0,1
"pro siraellgbtkarya anak negeri",0,1
